genomeSize	err_rate	QV	gsize	N50	ctgn	L50
3720000	0.230	36.6514	4669691	4657766	3	1
3740000	0.220	36.645	4669674	4657749	3	1
3700000	0.260	36.6297	4669710	4657785	3	1
3720000	0.240	36.6683	4669694	4657769	3	1
3760000	0.220	36.6433	4669678	4657753	3	1
3740000	0.230	36.6534	4669693	4657768	3	1
3720000	0.250	36.5439	4686076	4674151	3	1
3780000	0.220	36.6433	4669672	4657747	3	1
3740000	0.240	36.6714	4669699	4657774	3	1
3720000	0.260	36.6328	4669705	4657780	3	1
3760000	0.230	36.6555	4669695	4657770	3	1
3740000	0.250	36.547	4686078	4674153	3	1
3780000	0.230	36.6563	4669695	4657770	3	1
3740000	0.260	36.6328	4669707	4657782	3	1
3760000	0.240	36.6738	4669700	4657775	3	1
3800000	0.220	36.6442	4669672	4657747	3	1
3760000	0.250	36.5472	4686081	4674156	3	1
3780000	0.240	36.669	4669701	4657776	3	1
3760000	0.260	36.6378	4669707	4657782	3	1
3780000	0.250	36.543	4686079	4674154	3	1
3780000	0.260	36.6349	4669703	4657778	3	1
3800000	0.230	36.6555	4669692	4657767	3	1
3800000	0.240	36.6683	4669702	4657777	3	1
3800000	0.250	36.5412	4686087	4674162	3	1
3820000	0.220	36.651	4669680	4657755	3	1
3800000	0.260	36.6385	4669709	4657784	3	1
3820000	0.230	36.6558	4669692	4657767	3	1
3820000	0.240	36.6673	4669697	4657772	3	1
3840000	0.220	36.6498	4669678	4657753	3	1
3820000	0.250	36.5426	4686086	4674161	3	1
3840000	0.230	36.6498	4669684	4657759	3	1
3860000	0.220	36.6457	4669677	4657752	3	1
3820000	0.260	36.6373	4669709	4657784	3	1
3840000	0.240	36.668	4669698	4657773	3	1
3880000	0.220	36.6476	4669680	4657755	3	1
3860000	0.230	36.6483	4669687	4657762	3	1
3840000	0.250	36.5388	4686089	4674164	3	1
3840000	0.260	36.6462	4669711	4657786	3	1
3860000	0.240	36.6656	4669695	4657770	3	1
3900000	0.220	36.6399	4669674	4657749	3	1
3880000	0.230	36.656	4669694	4657769	3	1
3860000	0.250	36.5391	4686084	4674159	3	1
3880000	0.240	36.6632	4669696	4657771	3	1
3860000	0.260	36.6426	4669715	4657790	3	1
3900000	0.230	36.6567	4669685	4657760	3	1
3880000	0.250	36.537	4686090	4674165	3	1
3900000	0.240	36.6606	4669690	4657765	3	1
3880000	0.260	36.6414	4669722	4657797	3	1
3920000	0.220	36.6378	4669677	4657752	3	1
3900000	0.250	36.5302	4686096	4674171	3	1
3900000	0.260	36.6378	4669718	4657793	3	1
3920000	0.230	36.6574	4669692	4657767	3	1
3920000	0.240	36.6594	4669695	4657770	3	1
3940000	0.220	37.3033	4657755	4657755	3	1
3920000	0.250	36.5316	4686095	4674170	3	1
3920000	0.260	36.6369	4669717	4657792	3	1
3940000	0.230	37.321	4657767	4657767	1	1
3940000	0.240	37.3232	4657772	4657772	1	1
3960000	0.220	37.3017	4657756	4657756	1	1
3940000	0.250	37.1687	4674166	4674166	1	1
3960000	0.230	37.3221	4657765	4657765	1	1
3980000	0.220	37.3003	4657757	4657757	1	1
3940000	0.260	37.2936	4657788	4657788	1	1
3960000	0.240	37.3246	4657771	4657771	1	1
4000000	0.220	37.3036	4657757	4657757	1	1
3980000	0.230	37.3193	4657765	4657765	1	1
3960000	0.250	37.1728	4674177	4674177	1	1
3960000	0.260	37.2983	4657794	4657794	1	1
3980000	0.240	37.3252	4657776	4657776	1	1
4020000	0.220	37.2991	4657758	4657758	1	1
4000000	0.230	37.3137	4657764	4657764	1	1
3980000	0.250	37.1728	4674179	4674179	1	1
3980000	0.260	37.2978	4657794	4657794	1	1
4000000	0.240	37.3297	4657773	4657773	1	1
4000000	0.250	37.1736	4674182	4674182	1	1
4020000	0.230	37.3156	4657768	4657768	1	1
4000000	0.260	37.2986	4657799	4657799	1	1
4020000	0.240	37.3294	4657770	4657770	1	1
4040000	0.220	37.295	4657754	4657754	1	1
4020000	0.250	37.1723	4674185	4674185	1	1
4020000	0.260	37.3003	4657796	4657796	1	1
4040000	0.230	37.3156	4657765	4657765	1	1
4040000	0.240	37.3294	4657773	4657773	1	1
4060000	0.220	37.2969	4657754	4657754	1	1
4040000	0.250	37.1742	4674187	4674187	1	1
4040000	0.260	37.3023	4657799	4657799	1	1
4060000	0.230	37.3204	4657764	4657764	1	1
4060000	0.240	37.3297	4657770	4657770	1	1
4080000	0.220	37.2969	4657757	4657757	1	1
4080000	0.230	37.3193	4657766	4657766	1	1
4060000	0.250	37.1766	4674186	4674186	1	1
4100000	0.220	37.2919	4657753	4657753	1	1
4080000	0.240	37.3314	4657771	4657771	1	1
4060000	0.260	37.3031	4657801	4657801	1	1
4120000	0.220	37.2922	4657752	4657752	1	1
4100000	0.230	37.3145	4657769	4657769	1	1
4080000	0.250	37.1836	4674183	4674183	1	1
4080000	0.260	37.2997	4657804	4657804	1	1
4100000	0.240	37.3305	4657770	4657770	1	1
4120000	0.230	37.3145	4657773	4657773	1	1
4140000	0.220	37.295	4657758	4657758	1	1
4100000	0.250	37.1817	4674181	4674181	1	1
4120000	0.240	37.3359	4657773	4657773	1	1
4100000	0.260	37.2981	4657800	4657800	1	1
4140000	0.230	37.3154	4657770	4657770	1	1
4120000	0.250	37.1831	4674183	4674183	1	1
4120000	0.260	37.2983	4657799	4657799	1	1
4140000	0.240	37.3364	4657772	4657772	1	1
4140000	0.250	37.1842	4674188	4674188	1	1
4140000	0.260	37.2956	4657800	4657800	1	1
4160000	0.220	37.2938	4657759	4657759	1	1
3000000	0.222	36.5751	4669426	4657553	3	1
3000000	0.224	36.5902	4669453	4657580	3	1
3005000	0.222	36.5746	4669426	4657553	3	1
3005000	0.220	36.5596	4669432	4657559	3	1
3005000	0.224	36.5876	4669456	4657583	3	1
3000000	0.232	36.5766	4669463	4657590	3	1
3000000	0.226	36.5751	4669446	4657573	3	1
3005000	0.226	36.574	4669447	4657574	3	1
3000000	0.228	36.5796	4669445	4657572	3	1
3000000	0.234	36.5853	4669467	4657594	3	1
3000000	0.242	36.5981	4669465	4657592	3	1
3000000	0.238	36.5851	4669478	4657605	3	1
3000000	0.252	36.6062	4669488	4657615	3	1
3000000	0.236	36.586	4669471	4657598	3	1
3000000	0.258	36.453	4683396	4671523	3	1
3000000	0.248	36.5898	4669481	4657608	3	1
3000000	0.244	36.5959	4669468	4657595	3	1
3000000	0.256	36.6112	4669497	4657624	3	1
3000000	0.246	36.5964	4669470	4657597	3	1
3000000	0.254	36.6102	4669495	4657622	3	1
3005000	0.228	36.5765	4669448	4657575	3	1
3005000	0.230	36.578	4669468	4657595	3	1
3005000	0.232	36.5766	4669461	4657588	3	1
3005000	0.236	36.5858	4669473	4657600	3	1
3005000	0.234	36.5853	4669466	4657593	3	1
3005000	0.238	36.5844	4669477	4657604	3	1
3010000	0.222	36.5746	4669426	4657553	3	1
3010000	0.220	36.5596	4669430	4657557	3	1
3005000	0.242	36.5978	4669463	4657590	3	1
3010000	0.224	36.5874	4669459	4657586	3	1
3005000	0.240	36.5874	4669479	4657606	3	1
3005000	0.250	36.5988	4669486	4657613	3	1
3010000	0.228	36.5758	4669452	4657579	3	1
3010000	0.226	36.573	4669451	4657578	3	1
3005000	0.248	36.5896	4669479	4657606	3	1
3005000	0.246	36.5962	4669468	4657595	3	1
3005000	0.254	36.6107	4669493	4657620	3	1
3010000	0.234	36.5853	4669472	4657599	3	1
3005000	0.252	36.6066	4669487	4657614	3	1
3005000	0.244	36.5957	4669466	4657593	3	1
3010000	0.232	36.5766	4669466	4657593	3	1
3010000	0.230	36.5773	4669471	4657598	3	1
3010000	0.236	36.5858	4669479	4657606	3	1
3005000	0.256	36.6116	4669496	4657623	3	1
3005000	0.260	36.4615	4683390	4671517	3	1
3005000	0.258	36.453	4683396	4671523	3	1
3010000	0.238	36.5837	4669481	4657608	3	1
3010000	0.240	36.5867	4669482	4657609	3	1
3010000	0.242	36.5978	4669464	4657591	3	1
3010000	0.244	36.5957	4669467	4657594	3	1
3010000	0.246	36.5962	4669468	4657595	3	1
3015000	0.220	36.565	4669431	4657558	3	1
3015000	0.222	36.5791	4669426	4657553	3	1
3015000	0.224	36.5919	4669458	4657585	3	1
3015000	0.226	36.5791	4669449	4657576	3	1
3010000	0.248	36.5896	4669478	4657605	3	1
3010000	0.250	36.6	4669485	4657612	3	1
3010000	0.252	36.6078	4669486	4657613	3	1
3010000	0.254	36.6095	4669491	4657618	3	1
3015000	0.230	36.5822	4669471	4657598	3	1
3015000	0.228	36.5808	4669451	4657578	3	1
3015000	0.232	36.5789	4669466	4657593	3	1
3015000	0.234	36.5858	4669467	4657594	3	1
3015000	0.236	36.5881	4669476	4657603	3	1
3010000	0.256	36.6112	4669494	4657621	3	1
3010000	0.258	36.4537	4683397	4671524	3	1
3015000	0.238	36.5839	4669479	4657606	3	1
3010000	0.260	36.4884	4683385	4671512	3	1
3015000	0.240	36.5896	4669482	4657609	3	1
3015000	0.242	36.6007	4669460	4657587	3	1
3015000	0.244	36.5966	4669465	4657592	3	1
3015000	0.250	36.6009	4669479	4657606	3	1
3015000	0.248	36.5905	4669475	4657602	3	1
3015000	0.246	36.5962	4669466	4657593	3	1
3015000	0.252	36.6088	4669482	4657609	3	1
3015000	0.254	36.6104	4669488	4657615	3	1
3015000	0.256	36.6121	4669490	4657617	3	1
3015000	0.258	36.4546	4683393	4671520	3	1
3015000	0.260	36.4893	4683382	4671509	3	1
3020000	0.222	36.577	4669419	4657546	3	1
3020000	0.224	36.5914	4669454	4657581	3	1
3020000	0.226	36.5787	4669448	4657575	3	1
3020000	0.228	36.5794	4669447	4657574	3	1
3020000	0.232	36.5796	4669465	4657592	3	1
3020000	0.234	36.5836	4669470	4657597	3	1
3020000	0.236	36.5893	4669476	4657603	3	1
3025000	0.220	36.5626	4669424	4657551	3	1
3020000	0.242	36.5997	4669464	4657591	3	1
3020000	0.238	36.5829	4669483	4657610	3	1
3025000	0.222	36.576	4669418	4657545	3	1
3020000	0.244	36.5957	4669469	4657596	3	1
3025000	0.224	36.5921	4669453	4657580	3	1
3020000	0.246	36.5952	4669472	4657599	3	1
3020000	0.248	36.5896	4669480	4657607	3	1
3020000	0.254	36.6111	4669493	4657620	3	1
3020000	0.252	36.6078	4669489	4657616	3	1
3025000	0.226	36.5803	4669446	4657573	3	1
3020000	0.258	36.4569	4683399	4671526	3	1
3020000	0.256	36.6145	4669496	4657623	3	1
3025000	0.228	36.581	4669448	4657575	3	1
3025000	0.230	36.5839	4669471	4657598	3	1
3025000	0.232	36.5803	4669465	4657592	3	1
3025000	0.234	36.586	4669471	4657598	3	1
3025000	0.236	36.5914	4669474	4657601	3	1
3025000	0.238	36.5853	4669483	4657610	3	1
3025000	0.240	36.591	4669486	4657613	3	1
3025000	0.244	36.599	4669474	4657601	3	1
3025000	0.246	36.5974	4669476	4657603	3	1
3025000	0.248	36.5912	4669483	4657610	3	1
3030000	0.222	36.5749	4669416	4657543	3	1
3025000	0.242	36.6014	4669466	4657593	3	1
3030000	0.220	36.5615	4669422	4657549	3	1
3030000	0.224	36.591	4669451	4657578	3	1
3025000	0.250	36.6017	4669490	4657617	3	1
3030000	0.226	36.5791	4669442	4657569	3	1
3030000	0.228	36.5813	4669447	4657574	3	1
3025000	0.256	36.6157	4669495	4657622	3	1
